Model,MAE,RMSE,MAPE (%),R2
Naive Forecast,5407.1193,6715.346700467422,141.70443400773624,-1.0114605332144149
XGBoost,183.1318261985279,316.93802121217726,3.1830479662043323,0.9955060553074605
LSTM,4095.0199289718817,4751.438677397243,115.92713407232071,-0.0033929166676276434
Ensemble,186.07168603222442,314.57204204765685,3.3660138875267287,0.9955729005079678
